Rule,Notes,Error
win_adcs_certificate_template_configuration_vulnerability_eku,need to parse 4898 & 4899 events,
win_exchange_proxyshell_certificate_generation,needs exchange logs,
proc_creation_win_mal_darkside_ransomware,single quote parsing issue,Query could not be parsed at '0x' on line [622.137]
win_exchange_proxylogon_oabvirtualdir,needs exchange logs,
win_user_couldnt_call_privileged_service_lsaregisterlogonprocess,no keyword support,
sysmon_powershell_code_injection,SourceParentImage is not a valid field for this event,
proc_creation_win_invoke_obfuscation_obfuscated_iex_commandline,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_powershell_cmdline_special_characters,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_invoke_obfuscation_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
pipe_created_mal_cobaltstrike_re,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_invoke_obfuscation_clip,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_obfuscated_iex,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_susp_powershell_iex_patterns,parsing error,Query could not be parsed at 'iex' on line [1.198]
win_invoke_obfuscation_obfuscated_iex_services,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_susp_crackmapexec_flags,parsing error,Query could not be parsed at 'NTHASH' on line [1.380]
win_invoke_obfuscation_var_services,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_security_metasploit_or_impacket_smb_psexec_service_install,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_ps_invoke_obfuscation_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_ps_invoke_obfuscation_via_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_ps_invoke_obfuscation_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_access_win_cobaltstrike_bof_injection_pattern,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_via_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_ps_invoke_obfuscation_via_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_via_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_schtasks_powershell_windowsapps_execution,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_av_relevant_match,parsing error,Left and right side of the logical expression must be Boolean
win_invoke_obfuscation_via_var_services,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_possible_zerologon_exploitation_using_wellknown_tools,parsing error,Left and right side of the logical expression must be Boolean
win_invoke_obfuscation_obfuscated_iex_services_security,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_invoke_obfuscation_via_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_clip,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_susp_emotet_rundll32_execution,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_run_powershell_script_from_input_stream,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_invoke_obfuscation_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_susp_invocation_specific,parsing error,Query could not be parsed at 'https' on line [142.1360]
win_susp_service_installation_folder_pattern,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_invoke_obfuscation_via_stdin_services,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
sysmon_powershell_code_injection,parsing error,'where' operator: Failed to resolve column or scalar expression named 'SourceParentImage'
proc_creation_win_hack_rubeus,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
sysmon_config_modification_status,parsing error,Query could not be parsed at '..' on line [1.59]
proc_creation_win_malware_notpetya,parsing error,Left and right side of the logical expression must be Boolean
posh_ps_invoke_obfuscation_clip,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_invoke_obfuscation_var_services_security,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_susp_gup,parsing error,Relop semantic error: SEM0420: Regex pattern is ill-formed: (?i).*\\\\\\\\Users\\\\\\\\.*\\\\\\\\AppData\\\\\\\\Local\\\\\\\\Notepad++\\\\\\\\updater\\\\\\\\GUP\\\\.e...
posh_ps_invoke_obfuscation_obfuscated_iex,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_invoke_obfuscation_via_var,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
proc_creation_win_susp_crackmapexec_powershell_obfuscation,parsing error,Query could not be parsed at 'x' on line [1.279]
win_user_couldnt_call_privileged_service_lsaregisterlogonprocess,parsing error,'where' operator: Failed to resolve column or scalar expression named 'Keywords'
win_invoke_obfuscation_stdin_services,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
posh_pm_invoke_obfuscation_stdin,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
win_invoke_obfuscation_via_var_services_security,parsing error,Request is invalid and cannot be processed: Syntax error: SYN0001: I could not parse that sorry. [line:position=0:0]
file_change_win_2022_timestomping,unsupported feature,
win_susp_vuln_cve_2022_21919_or_cve_2021_34484,needs application logs,
posh_pc_remote_powershell_session,noisy,
